Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
aaf82c612373bafcef3509b72ee24809	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
ab7b075defafff44a4a65247a9e21152	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	97	GreenGenes2
ad20976e0e8c7e5adcb7f11b5fcf7830	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola_A	Phocaeicola_A vulgatus	100	100	100	100	100	100	100	GreenGenes2
b2ef16dee036f7ce8b9b74a7234111c1	Bacteria	Bacillota_A_368345	Clostridia_258483	Clostridiales	Clostridiaceae_222000	Clostridium_T	Clostridium_T beijerinckii	100	100	100	100	100	100	100	GreenGenes2
b56b7466c84c7ca53aa71e4ce25f61b0	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium_388775	Bifidobacterium_388775 adolescentis	100	100	100	100	100	100	83	GreenGenes2
b80a1bd6b19379171cafb03a4ddb26a3	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter_A_494292	Cereibacter_A_494292 sphaeroides	100	100	100	100	100	100	100	GreenGenes2
bc7d5e82dae59e2e5e8321bb5c5eae4b	Bacteria	Bacillota_I	Bacilli_A	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GreenGenes2
bd05526ece955ce8ba6e2c25b383446b	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus caprae	100	100	100	100	100	100	80	GreenGenes2
bd811a69c8a63e6a41e89c820bfceab1	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	95	95	95	46	GreenGenes2
c0089458dae2c0559162e58eb2661873	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_737866	Enterobacteriaceae_A_725029	Escherichia	Escherichia albertii	100	100	100	100	100	100	99	GreenGenes2
cd1af128eb857acddb168e57245021ec	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	98	GreenGenes2
ce924304412f4e0e43e7a04b5fc1ad42	Bacteria	Bacillota_I	Bacilli_A	Bacillales_B_310392	Bacillaceae_G	Bacillus_A	NA	100	100	100	100	100	100	47	GreenGenes2
d3eab112b21cbea371f808f940fa4b0c	Bacteria	Bacillota_I	Bacilli_A	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	100	GreenGenes2
