sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
16s_mas12_part_189	48879	36050	73.75	35544	35477	72.58
16s_mas12_part_106	48836	35011	71.69	34531	34434	70.51
16s_mas12_part_161	48778	35257	72.28	34771	34671	71.08
16s_mas12_part_143	48906	35333	72.25	34848	34744	71.04
16s_mas12_part_193	48729	35937	73.75	35491	35398	72.64
16s_mas12_part_123	48870	35479	72.6	34975	34888	71.39
16s_mas12_part_150	48863	35684	73.03	35196	35140	71.92
16s_mas12_part_209	48921	36295	74.19	35818	35719	73.01
16s_mas12_part_120	48906	35542	72.67	35045	34977	71.52
16s_mas12_part_202	48865	35928	73.53	35424	35380	72.4
16s_mas12_part_149	48758	35309	72.42	34822	34741	71.25
16s_mas12_part_133	48902	35512	72.62	35015	34951	71.47
16s_mas12_part_195	48884	35989	73.62	35480	35409	72.43
16s_mas12_part_188	48934	35983	73.53	35489	35396	72.33
16s_mas12_part_184	48954	35374	72.26	34904	34811	71.11
16s_mas12_part_146	48856	35533	72.73	35065	34954	71.54
16s_mas12_part_167	48860	35252	72.15	34781	34683	70.98
16s_mas12_part_178	48943	35980	73.51	35474	35366	72.26
16s_mas12_part_181	48830	35717	73.15	35204	35160	72
16s_mas12_part_187	48995	35989	73.45	35500	35436	72.33
16s_mas12_part_207	48736	35945	73.75	35481	35406	72.65
16s_mas12_part_110	48861	35567	72.79	35060	35003	71.64
16s_mas12_part_013	48951	36710	74.99	36168	36121	73.79
16s_mas12_part_180	48923	35876	73.33	35370	35315	72.18
16s_mas12_part_177	48868	36028	73.73	35527	35454	72.55
16s_mas12_part_198	48759	35597	73.01	35070	35005	71.79
16s_mas12_part_118	48884	36275	74.21	35783	35651	72.93
16s_mas12_part_153	48778	35194	72.15	34734	34672	71.08
16s_mas12_part_212	48861	35678	73.02	35200	35120	71.88
16s_mas12_part_100	48847	35238	72.14	34769	34712	71.06
16s_mas12_part_131	48891	35484	72.58	35019	34939	71.46
16s_mas12_part_213	48899	36371	74.38	35929	35822	73.26
16s_mas12_part_127	48906	35519	72.63	35061	34958	71.48
16s_mas12_part_199	48908	35769	73.14	35218	35174	71.92
16s_mas12_part_019	48888	36698	75.07	36193	36139	73.92
16s_mas12_part_130	48813	35146	72	34660	34591	70.86
16s_mas12_part_105	48924	35927	73.43	35419	35365	72.29
16s_mas12_part_129	48918	36091	73.78	35513	35464	72.5
16s_mas12_part_164	48825	35330	72.36	34889	34809	71.29
16s_mas12_part_200	48964	36253	74.04	35713	35646	72.8
16s_mas12_part_220	48925	36237	74.07	35700	35628	72.82
16s_mas12_part_206	48903	36241	74.11	35757	35655	72.91
16s_mas12_part_128	48815	34985	71.67	34489	34428	70.53
16s_mas12_part_124	48867	35457	72.56	34995	34917	71.45
16s_mas12_part_163	48963	35739	72.99	35254	35112	71.71
16s_mas12_part_116	48773	35563	72.92	35095	34993	71.75
16s_mas12_part_170	48930	36185	73.95	35718	35636	72.83
16s_mas12_part_224	48739	35809	73.47	35244	35180	72.18
16s_mas12_part_232	48866	35971	73.61	35473	35389	72.42
16s_mas12_part_204	48885	36082	73.81	35579	35503	72.63
16s_mas12_part_194	48742	35338	72.5	34885	34793	71.38
16s_mas12_part_020	48807	36427	74.63	35905	35867	73.49
16s_mas12_part_144	48782	35339	72.44	34812	34764	71.26
16s_mas12_part_171	48783	35710	73.2	35202	35141	72.04
16s_mas12_part_254	48857	35871	73.42	35371	35273	72.2
16s_mas12_part_021	48938	36731	75.06	36264	36138	73.84
16s_mas12_part_221	48919	36776	75.18	36234	36199	74
16s_mas12_part_022	48891	36511	74.68	36035	35949	73.53
16s_mas12_part_102	48762	35699	73.21	35185	35066	71.91
16s_mas12_part_210	48845	36000	73.7	35488	35414	72.5
16s_mas12_part_219	48837	35623	72.94	35138	35054	71.78
16s_mas12_part_231	48902	36690	75.03	36158	36092	73.8
16s_mas12_part_148	48871	35656	72.96	35164	35089	71.8
16s_mas12_part_175	48840	35866	73.44	35355	35267	72.21
16s_mas12_part_185	48927	36101	73.79	35608	35543	72.64
